Timestamp: 2024-10-07 21:25:31 Latitude: 48.906631, Longitude: 2.249909, Speed: 0.78 km/h
Timestamp: 2024-10-07 21:25:57 Latitude: 48.906646, Longitude: 2.249962, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:25:58 Latitude: 48.906650, Longitude: 2.249965, Speed: 0.24 km/h
Timestamp: 2024-10-07 21:25:59 Latitude: 48.906650, Longitude: 2.249966, Speed: 0.22 km/h
Timestamp: 2024-10-07 21:26:00 Latitude: 48.906654, Longitude: 2.249967, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:01 Latitude: 48.906654, Longitude: 2.249968, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:26:02 Latitude: 48.906654, Longitude: 2.249968, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:26:03 Latitude: 48.906654, Longitude: 2.249968, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:26:04 Latitude: 48.906654, Longitude: 2.249968, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:26:05 Latitude: 48.906654, Longitude: 2.249968, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:06 Latitude: 48.906654, Longitude: 2.249968, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:07 Latitude: 48.906654, Longitude: 2.249969, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:08 Latitude: 48.906654, Longitude: 2.249970, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:26:09 Latitude: 48.906654, Longitude: 2.249971, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:10 Latitude: 48.906654, Longitude: 2.249972, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:26:11 Latitude: 48.906654, Longitude: 2.249974, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:12 Latitude: 48.906654, Longitude: 2.249975, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:13 Latitude: 48.906654, Longitude: 2.249978, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:26:14 Latitude: 48.906658, Longitude: 2.249979, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:15 Latitude: 48.906658, Longitude: 2.249981, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:26:16 Latitude: 48.906654, Longitude: 2.249983, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:17 Latitude: 48.906654, Longitude: 2.249984, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:18 Latitude: 48.906658, Longitude: 2.249986, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:26:19 Latitude: 48.906654, Longitude: 2.249988, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:26:20 Latitude: 48.906654, Longitude: 2.249989, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:26:21 Latitude: 48.906654, Longitude: 2.249990, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:22 Latitude: 48.906654, Longitude: 2.249991, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:23 Latitude: 48.906654, Longitude: 2.249992, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:24 Latitude: 48.906654, Longitude: 2.249993, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:25 Latitude: 48.906654, Longitude: 2.249994, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:26 Latitude: 48.906654, Longitude: 2.249994, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:26:27 Latitude: 48.906654, Longitude: 2.249994, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:26:28 Latitude: 48.906654, Longitude: 2.249994, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:26:29 Latitude: 48.906654, Longitude: 2.249994, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:30 Latitude: 48.906654, Longitude: 2.249994, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:31 Latitude: 48.906650, Longitude: 2.249994, Speed: 0.17 km/h
Timestamp: 2024-10-07 21:26:32 Latitude: 48.906650, Longitude: 2.249995, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:26:33 Latitude: 48.906650, Longitude: 2.249995, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:34 Latitude: 48.906650, Longitude: 2.249995, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:26:35 Latitude: 48.906650, Longitude: 2.249995, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:36 Latitude: 48.906650, Longitude: 2.249995, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:37 Latitude: 48.906646, Longitude: 2.249994, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:26:38 Latitude: 48.906646, Longitude: 2.249994, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:39 Latitude: 48.906646, Longitude: 2.249993, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:40 Latitude: 48.906646, Longitude: 2.249992, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:26:41 Latitude: 48.906642, Longitude: 2.249992, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:26:42 Latitude: 48.906642, Longitude: 2.249991, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:26:43 Latitude: 48.906642, Longitude: 2.249991, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:44 Latitude: 48.906642, Longitude: 2.249991, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:26:45 Latitude: 48.906642, Longitude: 2.249990, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:26:46 Latitude: 48.906642, Longitude: 2.249990, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:26:47 Latitude: 48.906642, Longitude: 2.249989, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:48 Latitude: 48.906642, Longitude: 2.249988, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:49 Latitude: 48.906642, Longitude: 2.249988, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:26:50 Latitude: 48.906642, Longitude: 2.249988, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:26:51 Latitude: 48.906642, Longitude: 2.249988, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:26:52 Latitude: 48.906642, Longitude: 2.249986, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:26:53 Latitude: 48.906642, Longitude: 2.249985, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:54 Latitude: 48.906642, Longitude: 2.249985, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:26:55 Latitude: 48.906642, Longitude: 2.249984, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:56 Latitude: 48.906642, Longitude: 2.249983, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:26:57 Latitude: 48.906642, Longitude: 2.249982, Speed: 0.17 km/h
Timestamp: 2024-10-07 21:26:58 Latitude: 48.906642, Longitude: 2.249982, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:26:59 Latitude: 48.906642, Longitude: 2.249981, Speed: 0.17 km/h
Timestamp: 2024-10-07 21:27:00 Latitude: 48.906642, Longitude: 2.249981, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:27:01 Latitude: 48.906642, Longitude: 2.249980, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:27:02 Latitude: 48.906642, Longitude: 2.249979, Speed: 0.17 km/h
Timestamp: 2024-10-07 21:27:03 Latitude: 48.906642, Longitude: 2.249979, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:27:04 Latitude: 48.906646, Longitude: 2.249980, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:27:05 Latitude: 48.906646, Longitude: 2.249981, Speed: 0.44 km/h
Timestamp: 2024-10-07 21:27:06 Latitude: 48.906646, Longitude: 2.249980, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:27:07 Latitude: 48.906646, Longitude: 2.249979, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:27:08 Latitude: 48.906642, Longitude: 2.249978, Speed: 0.33 km/h
Timestamp: 2024-10-07 21:27:09 Latitude: 48.906642, Longitude: 2.249977, Speed: 0.20 km/h
Timestamp: 2024-10-07 21:27:10 Latitude: 48.906642, Longitude: 2.249977, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:27:11 Latitude: 48.906642, Longitude: 2.249976, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:27:12 Latitude: 48.906642, Longitude: 2.249976, Speed: 0.44 km/h
Timestamp: 2024-10-07 21:27:13 Latitude: 48.906642, Longitude: 2.249975, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:27:14 Latitude: 48.906642, Longitude: 2.249974, Speed: 0.17 km/h
Timestamp: 2024-10-07 21:27:15 Latitude: 48.906642, Longitude: 2.249973, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:27:16 Latitude: 48.906642, Longitude: 2.249972, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:27:17 Latitude: 48.906642, Longitude: 2.249971, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:27:18 Latitude: 48.906642, Longitude: 2.249971, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:27:19 Latitude: 48.906642, Longitude: 2.249969, Speed: 0.31 km/h
Timestamp: 2024-10-07 21:27:20 Latitude: 48.906639, Longitude: 2.249969, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:27:21 Latitude: 48.906639, Longitude: 2.249968, Speed: 0.24 km/h
Timestamp: 2024-10-07 21:27:22 Latitude: 48.906639, Longitude: 2.249967, Speed: 0.19 km/h
Timestamp: 2024-10-07 21:27:23 Latitude: 48.906639, Longitude: 2.249965, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:27:24 Latitude: 48.906639, Longitude: 2.249963, Speed: 0.20 km/h
Timestamp: 2024-10-07 21:27:25 Latitude: 48.906635, Longitude: 2.249961, Speed: 0.24 km/h
Timestamp: 2024-10-07 21:27:26 Latitude: 48.906635, Longitude: 2.249959, Speed: 0.17 km/h
Timestamp: 2024-10-07 21:27:27 Latitude: 48.906635, Longitude: 2.249958, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:27:28 Latitude: 48.906635, Longitude: 2.249957, Speed: 0.17 km/h
Timestamp: 2024-10-07 21:27:29 Latitude: 48.906635, Longitude: 2.249956, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:27:30 Latitude: 48.906635, Longitude: 2.249955, Speed: 0.39 km/h
Timestamp: 2024-10-07 21:27:31 Latitude: 48.906635, Longitude: 2.249954, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:27:32 Latitude: 48.906635, Longitude: 2.249952, Speed: 0.44 km/h
Timestamp: 2024-10-07 21:27:33 Latitude: 48.906631, Longitude: 2.249950, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:27:34 Latitude: 48.906631, Longitude: 2.249950, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:27:35 Latitude: 48.906631, Longitude: 2.249949, Speed: 0.20 km/h
Timestamp: 2024-10-07 21:27:36 Latitude: 48.906631, Longitude: 2.249949, Speed: 0.26 km/h
Timestamp: 2024-10-07 21:27:37 Latitude: 48.906631, Longitude: 2.249948, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:27:38 Latitude: 48.906631, Longitude: 2.249948, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:27:39 Latitude: 48.906631, Longitude: 2.249948, Speed: 0.30 km/h
Timestamp: 2024-10-07 21:27:40 Latitude: 48.906631, Longitude: 2.249948, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:27:41 Latitude: 48.906631, Longitude: 2.249947, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:27:42 Latitude: 48.906631, Longitude: 2.249947, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:27:43 Latitude: 48.906631, Longitude: 2.249947, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:27:44 Latitude: 48.906631, Longitude: 2.249946, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:27:45 Latitude: 48.906631, Longitude: 2.249946, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:27:46 Latitude: 48.906631, Longitude: 2.249945, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:27:47 Latitude: 48.906631, Longitude: 2.249945, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:27:48 Latitude: 48.906631, Longitude: 2.249945, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:27:49 Latitude: 48.906631, Longitude: 2.249944, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:27:50 Latitude: 48.906631, Longitude: 2.249944, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:27:51 Latitude: 48.906631, Longitude: 2.249944, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:27:52 Latitude: 48.906627, Longitude: 2.249944, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:27:53 Latitude: 48.906627, Longitude: 2.249944, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:27:54 Latitude: 48.906627, Longitude: 2.249944, Speed: 0.31 km/h
Timestamp: 2024-10-07 21:27:55 Latitude: 48.906627, Longitude: 2.249944, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:27:56 Latitude: 48.906627, Longitude: 2.249944, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:27:57 Latitude: 48.906623, Longitude: 2.249944, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:27:58 Latitude: 48.906623, Longitude: 2.249944, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:27:59 Latitude: 48.906623, Longitude: 2.249944, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:28:00 Latitude: 48.906623, Longitude: 2.249943, Speed: 0.26 km/h
Timestamp: 2024-10-07 21:28:01 Latitude: 48.906623, Longitude: 2.249943, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:02 Latitude: 48.906623, Longitude: 2.249943, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:28:03 Latitude: 48.906623, Longitude: 2.249942, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:04 Latitude: 48.906620, Longitude: 2.249942, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:28:05 Latitude: 48.906620, Longitude: 2.249941, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:28:06 Latitude: 48.906620, Longitude: 2.249940, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:28:07 Latitude: 48.906620, Longitude: 2.249939, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:08 Latitude: 48.906620, Longitude: 2.249939, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:28:09 Latitude: 48.906620, Longitude: 2.249938, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:10 Latitude: 48.906620, Longitude: 2.249938, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:28:11 Latitude: 48.906620, Longitude: 2.249938, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:12 Latitude: 48.906620, Longitude: 2.249938, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:13 Latitude: 48.906616, Longitude: 2.249938, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:28:14 Latitude: 48.906616, Longitude: 2.249939, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:15 Latitude: 48.906616, Longitude: 2.249939, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:28:16 Latitude: 48.906616, Longitude: 2.249939, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:17 Latitude: 48.906616, Longitude: 2.249939, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:18 Latitude: 48.906616, Longitude: 2.249939, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:28:19 Latitude: 48.906616, Longitude: 2.249939, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:20 Latitude: 48.906616, Longitude: 2.249939, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:28:21 Latitude: 48.906616, Longitude: 2.249938, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:28:22 Latitude: 48.906612, Longitude: 2.249938, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:23 Latitude: 48.906612, Longitude: 2.249938, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:24 Latitude: 48.906612, Longitude: 2.249938, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:28:25 Latitude: 48.906612, Longitude: 2.249938, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:28:26 Latitude: 48.906612, Longitude: 2.249938, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:28:27 Latitude: 48.906612, Longitude: 2.249938, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:28 Latitude: 48.906612, Longitude: 2.249938, Speed: 0.22 km/h
Timestamp: 2024-10-07 21:28:29 Latitude: 48.906612, Longitude: 2.249937, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:30 Latitude: 48.906612, Longitude: 2.249937, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:28:31 Latitude: 48.906612, Longitude: 2.249936, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:28:32 Latitude: 48.906612, Longitude: 2.249936, Speed: 0.17 km/h
Timestamp: 2024-10-07 21:28:33 Latitude: 48.906612, Longitude: 2.249936, Speed: 0.19 km/h
Timestamp: 2024-10-07 21:28:34 Latitude: 48.906612, Longitude: 2.249936, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:28:35 Latitude: 48.906612, Longitude: 2.249936, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:28:36 Latitude: 48.906612, Longitude: 2.249936, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:28:37 Latitude: 48.906612, Longitude: 2.249936, Speed: 0.19 km/h
Timestamp: 2024-10-07 21:28:38 Latitude: 48.906612, Longitude: 2.249937, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:39 Latitude: 48.906608, Longitude: 2.249937, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:40 Latitude: 48.906608, Longitude: 2.249938, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:41 Latitude: 48.906608, Longitude: 2.249938, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:42 Latitude: 48.906608, Longitude: 2.249939, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:43 Latitude: 48.906608, Longitude: 2.249939, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:44 Latitude: 48.906608, Longitude: 2.249939, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:28:45 Latitude: 48.906608, Longitude: 2.249940, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:28:46 Latitude: 48.906604, Longitude: 2.249940, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:47 Latitude: 48.906604, Longitude: 2.249940, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:28:48 Latitude: 48.906604, Longitude: 2.249941, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:28:49 Latitude: 48.906604, Longitude: 2.249942, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:28:50 Latitude: 48.906604, Longitude: 2.249943, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:28:51 Latitude: 48.906604, Longitude: 2.249943, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:28:52 Latitude: 48.906604, Longitude: 2.249944, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:28:53 Latitude: 48.906604, Longitude: 2.249946, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:28:54 Latitude: 48.906604, Longitude: 2.249946, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:55 Latitude: 48.906604, Longitude: 2.249946, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:56 Latitude: 48.906604, Longitude: 2.249947, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:28:57 Latitude: 48.906604, Longitude: 2.249948, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:28:58 Latitude: 48.906604, Longitude: 2.249948, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:28:59 Latitude: 48.906604, Longitude: 2.249948, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:29:00 Latitude: 48.906604, Longitude: 2.249949, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:29:01 Latitude: 48.906600, Longitude: 2.249949, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:29:02 Latitude: 48.906604, Longitude: 2.249950, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:03 Latitude: 48.906600, Longitude: 2.249950, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:29:04 Latitude: 48.906600, Longitude: 2.249951, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:29:05 Latitude: 48.906600, Longitude: 2.249951, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:29:06 Latitude: 48.906604, Longitude: 2.249951, Speed: 0.22 km/h
Timestamp: 2024-10-07 21:29:07 Latitude: 48.906600, Longitude: 2.249951, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:29:08 Latitude: 48.906600, Longitude: 2.249950, Speed: 0.19 km/h
Timestamp: 2024-10-07 21:29:09 Latitude: 48.906600, Longitude: 2.249949, Speed: 0.20 km/h
Timestamp: 2024-10-07 21:29:10 Latitude: 48.906600, Longitude: 2.249948, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:11 Latitude: 48.906600, Longitude: 2.249948, Speed: 0.22 km/h
Timestamp: 2024-10-07 21:29:12 Latitude: 48.906600, Longitude: 2.249947, Speed: 0.17 km/h
Timestamp: 2024-10-07 21:29:13 Latitude: 48.906600, Longitude: 2.249946, Speed: 0.09 km/h
Timestamp: 2024-10-07 21:29:14 Latitude: 48.906600, Longitude: 2.249944, Speed: 0.31 km/h
Timestamp: 2024-10-07 21:29:15 Latitude: 48.906600, Longitude: 2.249943, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:29:16 Latitude: 48.906600, Longitude: 2.249943, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:17 Latitude: 48.906600, Longitude: 2.249942, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:29:18 Latitude: 48.906600, Longitude: 2.249941, Speed: 0.22 km/h
Timestamp: 2024-10-07 21:29:19 Latitude: 48.906600, Longitude: 2.249940, Speed: 0.07 km/h
Timestamp: 2024-10-07 21:29:20 Latitude: 48.906600, Longitude: 2.249939, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:29:21 Latitude: 48.906600, Longitude: 2.249937, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:29:22 Latitude: 48.906600, Longitude: 2.249936, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:29:23 Latitude: 48.906600, Longitude: 2.249934, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:29:24 Latitude: 48.906600, Longitude: 2.249932, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:29:25 Latitude: 48.906600, Longitude: 2.249929, Speed: 0.24 km/h
Timestamp: 2024-10-07 21:29:26 Latitude: 48.906600, Longitude: 2.249928, Speed: 0.20 km/h
Timestamp: 2024-10-07 21:29:27 Latitude: 48.906600, Longitude: 2.249927, Speed: 0.19 km/h
Timestamp: 2024-10-07 21:29:28 Latitude: 48.906600, Longitude: 2.249925, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:29 Latitude: 48.906600, Longitude: 2.249923, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:29:30 Latitude: 48.906600, Longitude: 2.249922, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:29:31 Latitude: 48.906600, Longitude: 2.249922, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:32 Latitude: 48.906600, Longitude: 2.249921, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:33 Latitude: 48.906600, Longitude: 2.249920, Speed: 0.02 km/h
Timestamp: 2024-10-07 21:29:34 Latitude: 48.906600, Longitude: 2.249918, Speed: 0.13 km/h
Timestamp: 2024-10-07 21:29:35 Latitude: 48.906600, Longitude: 2.249916, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:29:36 Latitude: 48.906597, Longitude: 2.249914, Speed: 0.20 km/h
Timestamp: 2024-10-07 21:29:37 Latitude: 48.906597, Longitude: 2.249912, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:29:38 Latitude: 48.906597, Longitude: 2.249911, Speed: 0.15 km/h
Timestamp: 2024-10-07 21:29:39 Latitude: 48.906597, Longitude: 2.249909, Speed: 0.04 km/h
Timestamp: 2024-10-07 21:29:40 Latitude: 48.906597, Longitude: 2.249907, Speed: 0.00 km/h
Timestamp: 2024-10-07 21:29:41 Latitude: 48.906597, Longitude: 2.249906, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:42 Latitude: 48.906597, Longitude: 2.249903, Speed: 0.06 km/h
Timestamp: 2024-10-07 21:29:43 Latitude: 48.906593, Longitude: 2.249902, Speed: 0.11 km/h
Timestamp: 2024-10-07 21:29:44 Latitude: 48.906593, Longitude: 2.249900, Speed: 0.15 km/h
